Group,Count,Owner,Parent.int_groups,Register,Field,Path,Name,Type,Allow during port up,FLags,Severity,,info (I) action (default is none),I->E count thresh,,error (E) action (default is count),Error->Fatal count threshold,Description (or Action in case of Fatal),,fatal (F) action (default is reset)
p4,2,Alessandro,dpr.dpr[#],int_fifo,ohi_ff_ovflow,dpr.dpr[#].int_fifo,int_fifo.ohi_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_fifo,phv_ff_ovflow,dpr.dpr[#].int_fifo,int_fifo.phv_ff_ovflow,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_fifo,pktin_ff_ovflow,dpr.dpr[#].int_fifo,int_fifo.pktin_ff_ovflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_fifo,pktout_ff_undflow,dpr.dpr[#].int_fifo,int_fifo.pktout_ff_undflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_fifo,ptr_ff_ovflow,dpr.dpr[#].int_fifo,int_fifo.ptr_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,crc_err_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.crc_err_flop_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,crc_err_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.crc_err_flop_ff_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,csum_cal_vld_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.csum_cal_vld_flop_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,csum_cal_vld_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.csum_cal_vld_flop_ff_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,csum_err_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.csum_err_flop_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,csum_err_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.csum_err_flop_ff_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_drop_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_drop_flop_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_drop_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_drop_flop_ff_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_eop_err_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_eop_err_flop_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_eop_err_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_eop_err_flop_ff_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_force_bypass_crc_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_force_bypass_crc_flop_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_force_bypass_crc_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_force_bypass_crc_flop_ff_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_force_bypass_csum_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_force_bypass_csum_flop_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_force_bypass_csum_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_force_bypass_csum_flop_ff_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,dpr_crc_info_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.dpr_crc_info_flop_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,dpr_crc_info_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.dpr_crc_info_flop_ff_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,dpr_crc_update_info_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.dpr_crc_update_info_flop_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,dpr_crc_update_info_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.dpr_crc_update_info_flop_ff_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,dpr_csum_info_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.dpr_csum_info_flop_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,dpr_csum_info_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.dpr_csum_info_flop_ff_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,dpr_csum_update_info_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.dpr_csum_update_info_flop_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,dpr_csum_update_info_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.dpr_csum_update_info_flop_ff_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,eop_vld_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.eop_vld_flop_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,eop_vld_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.eop_vld_flop_ff_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,padding_size_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.padding_size_flop_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,padding_size_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.padding_size_flop_ff_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,phv_no_data_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.phv_no_data_flop_ff_ovflow,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,phv_no_data_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.phv_no_data_flop_ff_undflow,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,phv_pkt_data_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.phv_pkt_data_flop_ff_ovflow,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,phv_pkt_data_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.phv_pkt_data_flop_ff_undflow,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,pktin_eop_err_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.pktin_eop_err_flop_ff_ovflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,pktin_eop_err_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.pktin_eop_err_flop_ff_undflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,pktin_err_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.pktin_err_flop_ff_ovflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,pktin_err_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.pktin_err_flop_ff_undflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,pktout_len_cell_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.pktout_len_cell_flop_ff_ovflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,pktout_len_cell_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.pktout_len_cell_flop_ff_undflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,ptr_early_pkt_eop_info_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.ptr_early_pkt_eop_info_flop_ff_ovflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,ptr_early_pkt_eop_info_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.ptr_early_pkt_eop_info_flop_ff_undflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,ptr_lookahaed_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.ptr_lookahaed_flop_ff_ovflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,ptr_lookahaed_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.ptr_lookahaed_flop_ff_undflow,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_crc_loc_gt_pkt_size,dpr.dpr[#].int_reg#,int_reg#.err_crc_loc_gt_pkt_size,pkt,,None,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. ICRC location greater then packet size,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_crc_mask_offset_gt_pkt_size,dpr.dpr[#].int_reg#,int_reg#.err_crc_mask_offset_gt_pkt_size,pkt,,None,SW-MASK-IGNORE,,n/a,n/a,,"Does not work, SW should mask/ignore",n/a,Invalid need to be masked,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_crc_offset_gt_pkt_size,dpr.dpr[#].int_reg#,int_reg#.err_crc_offset_gt_pkt_size,pkt,,None,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. ICRC covers more than packet size,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_crc_start_gt_end,dpr.dpr[#].int_reg#,int_reg#.err_crc_start_gt_end,,,None,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. ICRC start is greater then end,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_csum_ff_overflow,dpr.dpr[#].int_reg#,int_reg#.err_csum_ff_overflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,10,Alessandro,dpr.dpr[#],int_reg#,err_csum_loc_gt_pkt_size_#,dpr.dpr[#].int_reg#,int_reg#.err_csum_loc_gt_pkt_size_#,pkt,,None,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. Checksum location greater then packet size,,
p4,10,Alessandro,dpr.dpr[#],int_reg#,err_csum_offset_gt_pkt_size_#,dpr.dpr[#].int_reg#,int_reg#.err_csum_offset_gt_pkt_size_#,pkt,,None,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. Checksum covers more than packet size,,
p4,10,Alessandro,dpr.dpr[#],int_reg#,err_csum_phdr_offset_gt_pkt_size_#,dpr.dpr[#].int_reg#,int_reg#.err_csum_phdr_offset_gt_pkt_size_#,pkt,,None,error (E),,n/a,n/a,,Fix P4 program,n/a,P4 program/compiler error. Checksum pseudoheaders covers more than packet size,,
p4,10,Alessandro,dpr.dpr[#],int_reg#,err_csum_start_gt_end_#,dpr.dpr[#].int_reg#,int_reg#.err_csum_start_gt_end_#,,,None,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. Checksum start is greater then end,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_ohi_eop_no_sop,dpr.dpr[#].int_reg#,int_reg#.err_ohi_eop_no_sop,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_ohi_sop_no_eop,dpr.dpr[#].int_reg#,int_reg#.err_ohi_sop_no_eop,,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_phv_eop_no_sop,dpr.dpr[#].int_reg#,int_reg#.err_phv_eop_no_sop,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_phv_sop_no_eop,dpr.dpr[#].int_reg#,int_reg#.err_phv_sop_no_eop,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_pkt_eop_early,dpr.dpr[#].int_reg#,int_reg#.err_pkt_eop_early,pkt,,None,info (I),,n/a,n/a,,n/a,n/a,spare,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_pktin_eop_no_sop,dpr.dpr[#].int_reg#,int_reg#.err_pktin_eop_no_sop,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_pktin_sop_no_eop,dpr.dpr[#].int_reg#,int_reg#.err_pktin_sop_no_eop,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
