Group,Count,Owner,Parent.int_groups,Register,Field,Path,Name,Type,Allow during port up,"Flags for SW
ignore_all
ignore_once
none",Severity,,info (I) action (default is none),I->E count thresh,,error (E) action (default is count),Error->Fatal count threshold,Description or Action in case of Fatal,,vs. Capri,,fatal (F) action (default is reset),1st,Line,Key
p4,2,Alessandro,dpp.dpp[#],int_dbg,dpr_phv_drdy,dpp.dpp[#].int_dbg,int_dbg.dpr_phv_drdy,,,ignore_all,info (I),,none,n/a,,n/a,n/a,Info,,added,,,1,58,int_dbgdpr_phv_drdydpp.dpp[#].int_dbgint_dbg.dpr_phv_drdy
p4,2,Alessandro,dpp.dpp[#],int_dbg,framer_credit_max,dpp.dpp[#].int_dbg,int_dbg.framer_credit_max,,,ignore_all,info (I),,none,n/a,,n/a,n/a,Info,,added,,,1,59,int_dbgframer_credit_maxdpp.dpp[#].int_dbgint_dbg.framer_credit_max
p4,2,Alessandro,dpp.dpp[#],int_dbg,ma_phv_drdy,dpp.dpp[#].int_dbg,int_dbg.ma_phv_drdy,,,ignore_all,info (I),,none,n/a,,n/a,n/a,Info,,added,,,1,60,int_dbgma_phv_drdydpp.dpp[#].int_dbgint_dbg.ma_phv_drdy
p4,2,Alessandro,dpp.dpp[#],int_dbg,pa_ohi_drdy,dpp.dpp[#].int_dbg,int_dbg.pa_ohi_drdy,,,ignore_all,info (I),,none,n/a,,n/a,n/a,Info,,added,,,1,61,int_dbgpa_ohi_drdydpp.dpp[#].int_dbgint_dbg.pa_ohi_drdy
p4,2,Alessandro,dpp.dpp[#],int_dbg,pkt_credit_max,dpp.dpp[#].int_dbg,int_dbg.pkt_credit_max,,,ignore_all,info (I),,none,n/a,,n/a,n/a,Info,,added,,,1,62,int_dbgpkt_credit_maxdpp.dpp[#].int_dbgint_dbg.pkt_credit_max
p4,2,Alessandro,dpp.dpp[#],int_fifo,csum_phv_ff_ovflow,dpp.dpp[#].int_fifo,int_fifo.csum_phv_ff_ovflow,phv,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,63,int_fifocsum_phv_ff_ovflowdpp.dpp[#].int_fifoint_fifo.csum_phv_ff_ovflow
p4,2,Alessandro,dpp.dpp[#],int_fifo,csum_phv_ff_undflow,dpp.dpp[#].int_fifo,int_fifo.csum_phv_ff_undflow,phv,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,64,int_fifocsum_phv_ff_undflowdpp.dpp[#].int_fifoint_fifo.csum_phv_ff_undflow
p4,2,Alessandro,dpp.dpp[#],int_fifo,ohi_ff_overflow,dpp.dpp[#].int_fifo,int_fifo.ohi_ff_overflow,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,65,int_fifoohi_ff_overflowdpp.dpp[#].int_fifoint_fifo.ohi_ff_overflow
p4,2,Alessandro,dpp.dpp[#],int_fifo,phv_ff_overflow,dpp.dpp[#].int_fifo,int_fifo.phv_ff_overflow,phv,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,66,int_fifophv_ff_overflowdpp.dpp[#].int_fifoint_fifo.phv_ff_overflow
p4,2,Alessandro,dpp.dpp[#],int_fifo,pkt_size_ff_ovflow,dpp.dpp[#].int_fifo,int_fifo.pkt_size_ff_ovflow,pkt,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,67,int_fifopkt_size_ff_ovflowdpp.dpp[#].int_fifoint_fifo.pkt_size_ff_ovflow
p4,2,Alessandro,dpp.dpp[#],int_fifo,pkt_size_ff_undflow,dpp.dpp[#].int_fifo,int_fifo.pkt_size_ff_undflow,pkt,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,68,int_fifopkt_size_ff_undflowdpp.dpp[#].int_fifoint_fifo.pkt_size_ff_undflow
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_clip_max_pkt_size,dpp.dpp[#].int_reg#,int_reg#.err_clip_max_pkt_size,pkt,,-,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. Packet constructed goes beyond programmed or hardwires  max byte threshold (whichever is less),,,,,,69,int_reg#err_clip_max_pkt_sizedpp.dpp[#].int_reg#int_reg#.err_clip_max_pkt_size
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_crc_multiple_hdr,dpp.dpp[#].int_reg#,int_reg#.err_crc_multiple_hdr,,,-,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. more than one header requesting crc computation,,,,,,70,int_reg#err_crc_multiple_hdrdpp.dpp[#].int_reg#int_reg#.err_crc_multiple_hdr
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_csum_multiple_hdr_copy,dpp.dpp[#].int_reg#,int_reg#.err_csum_multiple_hdr_copy,,,-,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. more than one header requesting csum copy,,,,,,71,int_reg#err_csum_multiple_hdr_copydpp.dpp[#].int_reg#int_reg#.err_csum_multiple_hdr_copy
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_csum_multiple_hdr,dpp.dpp[#].int_reg#,int_reg#.err_csum_multiple_hdr,,,-,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. more than one header requesting same csum engine computation,,,,,,72,int_reg#err_csum_multiple_hdrdpp.dpp[#].int_reg#int_reg#.err_csum_multiple_hdr
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_framer_credit_overrun,dpp.dpp[#].int_reg#,int_reg#.err_framer_credit_overrun,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,73,int_reg#err_framer_credit_overrundpp.dpp[#].int_reg#int_reg#.err_framer_credit_overrun
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_max_active_hdrs,dpp.dpp[#].int_reg#,int_reg#.err_max_active_hdrs,,,-,error (E),,n/a,n/a,,Fix P4 program,never,P4 program/compiler error. exceeding max number of available headers per 64 byte line,,,,,,74,int_reg#err_max_active_hdrsdpp.dpp[#].int_reg#int_reg#.err_max_active_hdrs
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_max_pkt_size,dpp.dpp[#].int_reg#,int_reg#.err_max_pkt_size,pkt,,-,error (E),,n/a,n/a,,Fix P4 program,n/a,P4 program/compiler error. packet built size exceeding programmed threshold  ,,,,,,75,int_reg#err_max_pkt_sizedpp.dpp[#].int_reg#int_reg#.err_max_pkt_size
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_min_pkt_size,dpp.dpp[#].int_reg#,int_reg#.err_min_pkt_size,pkt,,-,error (E),,n/a,n/a,,Fix P4 program,n/a,P4 program/compiler error. packet built size too small to carry vital intrinsic information,,,,,,76,int_reg#err_min_pkt_sizedpp.dpp[#].int_reg#int_reg#.err_min_pkt_size
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_null_hdrfld_vld,dpp.dpp[#].int_reg#,int_reg#.err_null_hdrfld_vld,,,-,error (E),,n/a,n/a,,Fix P4 program,n/a,P4 program/compiler error. packet has no headers (0 size),,,,,,77,int_reg#err_null_hdrfld_vlddpp.dpp[#].int_reg#int_reg#.err_null_hdrfld_vld
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_null_hdr_vld,dpp.dpp[#].int_reg#,int_reg#.err_null_hdr_vld,,,-,error (E),,n/a,n/a,,Fix P4 program,n/a,P4 program/compiler error. packet has no headers (0 size),,,,,,78,int_reg#err_null_hdr_vlddpp.dpp[#].int_reg#int_reg#.err_null_hdr_vld
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_ohi_eop_no_sop,dpp.dpp[#].int_reg#,int_reg#.err_ohi_eop_no_sop,,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,79,int_reg#err_ohi_eop_no_sopdpp.dpp[#].int_reg#int_reg#.err_ohi_eop_no_sop
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_ohi_sop_no_eop,dpp.dpp[#].int_reg#,int_reg#.err_ohi_sop_no_eop,,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,80,int_reg#err_ohi_sop_no_eopdpp.dpp[#].int_reg#int_reg#.err_ohi_sop_no_eop
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_packets_in_flight_credit_overrun,dpp.dpp[#].int_reg#,int_reg#.err_packets_in_flight_credit_overrun,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,81,int_reg#err_packets_in_flight_credit_overrundpp.dpp[#].int_reg#int_reg#.err_packets_in_flight_credit_overrun
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_phv_eop_no_sop,dpp.dpp[#].int_reg#,int_reg#.err_phv_eop_no_sop,phv,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,82,int_reg#err_phv_eop_no_sopdpp.dpp[#].int_reg#int_reg#.err_phv_eop_no_sop
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_phv_no_data_reference_ohi,dpp.dpp[#].int_reg#,int_reg#.err_phv_no_data_reference_ohi,phv,,-,fatal (F),,n/a,n/a,,n/a,n/a,P4 program/compiler error. reference to a byte in the incoming packet on a software PHV originated frame with no associated packet,,,,,,83,int_reg#err_phv_no_data_reference_ohidpp.dpp[#].int_reg#int_reg#.err_phv_no_data_reference_ohi
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_phv_sop_no_eop,dpp.dpp[#].int_reg#,int_reg#.err_phv_sop_no_eop,phv,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,84,int_reg#err_phv_sop_no_eopdpp.dpp[#].int_reg#int_reg#.err_phv_sop_no_eop
p4,2,Alessandro,dpp.dpp[#],int_reg#,err_ptr_fifo_credit_overrun,dpp.dpp[#].int_reg#,int_reg#.err_ptr_fifo_credit_overrun,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,85,int_reg#err_ptr_fifo_credit_overrundpp.dpp[#].int_reg#int_reg#.err_ptr_fifo_credit_overrun
p4,2,Alessandro,dpp.dpp[#],int_reg#,fieldC,dpp.dpp[#].int_reg#,int_reg#.fieldC,,,-,info (I),,n/a,n/a,,n/a,n/a,spare,,,,,,86,int_reg#fieldCdpp.dpp[#].int_reg#int_reg#.fieldC
p4,2,Alessandro,dpp.dpp[#],int_reg#,fieldD,dpp.dpp[#].int_reg#,int_reg#.fieldD,,,-,info (I),,n/a,n/a,,n/a,n/a,spare,,,,,,87,int_reg#fieldDdpp.dpp[#].int_reg#int_reg#.fieldD
p4,64,Alessandro,dpp.dpp[#],int_spare,spare_#,dpp.dpp[#].int_spare,int_spare.spare_#,,,-,error (E),,n/a,n/a,,"Fix P4 program, except spare_2: capture engaged used for debug; is INFO",never,spare_0: err_headerfld_size. P4 program/compiler error. header size is grater than > 16Kbytes; spare_1: err_adder_overflow P4 program/compiler error acccumulated header size is grater than > 16Kbytes; spare_2: capture engaged used for debug;,,,,,,88,int_sparespare_#dpp.dpp[#].int_spareint_spare.spare_#
p4,2,Alessandro,dpp.dpp[#],int_srams_ecc,dpp_ohi_fifo_correctable,dpp.dpp[#].int_srams_ecc,int_srams_ecc.dpp_ohi_fifo_correctable,ecc_sw,,-,error (E),,n/a,n/a,,count,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,,,send chip to Avago,,89,int_srams_eccdpp_ohi_fifo_correctabledpp.dpp[#].int_srams_eccint_srams_ecc.dpp_ohi_fifo_correctable
p4,2,Alessandro,dpp.dpp[#],int_srams_ecc,dpp_ohi_fifo_uncorrectable,dpp.dpp[#].int_srams_ecc,int_srams_ecc.dpp_ohi_fifo_uncorrectable,ecc,,-,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,,,send chip to Avago,,90,int_srams_eccdpp_ohi_fifo_uncorrectabledpp.dpp[#].int_srams_eccint_srams_ecc.dpp_ohi_fifo_uncorrectable
p4,2,Alessandro,dpp.dpp[#],int_srams_ecc,dpp_phv_fifo_correctable,dpp.dpp[#].int_srams_ecc,int_srams_ecc.dpp_phv_fifo_correctable,ecc_sw,,-,error (E),,n/a,n/a,,count,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,,,send chip to Avago,,91,int_srams_eccdpp_phv_fifo_correctabledpp.dpp[#].int_srams_eccint_srams_ecc.dpp_phv_fifo_correctable
p4,2,Alessandro,dpp.dpp[#],int_srams_ecc,dpp_phv_fifo_uncorrectable,dpp.dpp[#].int_srams_ecc,int_srams_ecc.dpp_phv_fifo_uncorrectable,ecc,,-,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,,,send chip to Avago,,92,int_srams_eccdpp_phv_fifo_uncorrectabledpp.dpp[#].int_srams_eccint_srams_ecc.dpp_phv_fifo_uncorrectable
p4,2,Alessandro,dpr.dpr[#],int_credit,egress_credit_ovflow,dpr.dpr[#].int_credit,int_credit.egress_credit_ovflow,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,93,int_creditegress_credit_ovflowdpr.dpr[#].int_creditint_credit.egress_credit_ovflow
p4,2,Alessandro,dpr.dpr[#],int_credit,egress_credit_undflow,dpr.dpr[#].int_credit,int_credit.egress_credit_undflow,,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,94,int_creditegress_credit_undflowdpr.dpr[#].int_creditint_credit.egress_credit_undflow
p4,2,Alessandro,dpr.dpr[#],int_credit,pktout_credit_ovflow,dpr.dpr[#].int_credit,int_credit.pktout_credit_ovflow,pkt,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,95,int_creditpktout_credit_ovflowdpr.dpr[#].int_creditint_credit.pktout_credit_ovflow
p4,2,Alessandro,dpr.dpr[#],int_credit,pktout_credit_undflow,dpr.dpr[#].int_credit,int_credit.pktout_credit_undflow,pkt,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,96,int_creditpktout_credit_undflowdpr.dpr[#].int_creditint_credit.pktout_credit_undflow
p4,2,Alessandro,dpr.dpr[#],int_dbg,csum_credit_max,dpr.dpr[#].int_dbg,int_dbg.csum_credit_max,,,ignore_all,info (I),,none,n/a,,n/a,n/a,info,,added,,,1,97,int_dbgcsum_credit_maxdpr.dpr[#].int_dbgint_dbg.csum_credit_max
p4,2,Alessandro,dpr.dpr[#],int_dbg,csum_ff_fc,dpr.dpr[#].int_dbg,int_dbg.csum_ff_fc,,,ignore_all,info (I),,none,n/a,,n/a,n/a,info,,added,,,1,98,int_dbgcsum_ff_fcdpr.dpr[#].int_dbgint_dbg.csum_ff_fc
p4,2,Alessandro,dpr.dpr[#],int_dbg,dpp_ohi_drdy,dpr.dpr[#].int_dbg,int_dbg.dpp_ohi_drdy,,,ignore_all,info (I),,none,n/a,,n/a,n/a,info,,added,,,1,99,int_dbgdpp_ohi_drdydpr.dpr[#].int_dbgint_dbg.dpp_ohi_drdy
p4,2,Alessandro,dpr.dpr[#],int_dbg,dpp_phv_drdy,dpr.dpr[#].int_dbg,int_dbg.dpp_phv_drdy,,,ignore_all,info (I),,none,n/a,,n/a,n/a,info,,added,,,1,100,int_dbgdpp_phv_drdydpr.dpr[#].int_dbgint_dbg.dpp_phv_drdy
p4,2,Alessandro,dpr.dpr[#],int_dbg,pa_pkt_drdy,dpr.dpr[#].int_dbg,int_dbg.pa_pkt_drdy,,,ignore_all,info (I),,none,n/a,,n/a,n/a,info,,added,,,1,101,int_dbgpa_pkt_drdydpr.dpr[#].int_dbgint_dbg.pa_pkt_drdy
p4,2,Alessandro,dpr.dpr[#],int_dbg,pb_pkt_drdy,dpr.dpr[#].int_dbg,int_dbg.pb_pkt_drdy,,,ignore_all,info (I),,none,n/a,,n/a,n/a,info,,added,,,1,102,int_dbgpb_pkt_drdydpr.dpr[#].int_dbgint_dbg.pb_pkt_drdy
p4,2,Alessandro,dpr.dpr[#],int_fifo,csum_ff_ovflow,dpr.dpr[#].int_fifo,int_fifo.csum_ff_ovflow,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,103,int_fifocsum_ff_ovflowdpr.dpr[#].int_fifoint_fifo.csum_ff_ovflow
p4,2,Alessandro,dpr.dpr[#],int_fifo,ohi_ff_ovflow,dpr.dpr[#].int_fifo,int_fifo.ohi_ff_ovflow,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,104,int_fifoohi_ff_ovflowdpr.dpr[#].int_fifoint_fifo.ohi_ff_ovflow
p4,2,Alessandro,dpr.dpr[#],int_fifo,phv_ff_ovflow,dpr.dpr[#].int_fifo,int_fifo.phv_ff_ovflow,phv,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,105,int_fifophv_ff_ovflowdpr.dpr[#].int_fifoint_fifo.phv_ff_ovflow
p4,2,Alessandro,dpr.dpr[#],int_fifo,pktin_ff_ovflow,dpr.dpr[#].int_fifo,int_fifo.pktin_ff_ovflow,pkt,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,106,int_fifopktin_ff_ovflowdpr.dpr[#].int_fifoint_fifo.pktin_ff_ovflow
p4,2,Alessandro,dpr.dpr[#],int_fifo,pktout_ff_undflow,dpr.dpr[#].int_fifo,int_fifo.pktout_ff_undflow,pkt,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,107,int_fifopktout_ff_undflowdpr.dpr[#].int_fifoint_fifo.pktout_ff_undflow
p4,2,Alessandro,dpr.dpr[#],int_fifo,ptr_ff_ovflow,dpr.dpr[#].int_fifo,int_fifo.ptr_ff_ovflow,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,108,int_fifoptr_ff_ovflowdpr.dpr[#].int_fifoint_fifo.ptr_ff_ovflow
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,crc_err_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.crc_err_flop_ff_ovflow,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,109,int_flop_fifo_#crc_err_flop_ff_ovflowdpr.dpr[#].int_flop_fifo_#int_flop_fifo_#.crc_err_flop_ff_ovflow
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,crc_err_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.crc_err_flop_ff_undflow,,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,110,int_flop_fifo_#crc_err_flop_ff_undflowdpr.dpr[#].int_flop_fifo_#int_flop_fifo_#.crc_err_flop_ff_undflow
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,csum_cal_vld_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.csum_cal_vld_flop_ff_ovflow,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,111,int_flop_fifo_#csum_cal_vld_flop_ff_ovflowdpr.dpr[#].int_flop_fifo_#int_flop_fifo_#.csum_cal_vld_flop_ff_ovflow
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,csum_cal_vld_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.csum_cal_vld_flop_ff_undflow,,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,112,int_flop_fifo_#csum_cal_vld_flop_ff_undflowdpr.dpr[#].int_flop_fifo_#int_flop_fifo_#.csum_cal_vld_flop_ff_undflow
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,csum_err_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.csum_err_flop_ff_ovflow,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,113,int_flop_fifo_#csum_err_flop_ff_ovflowdpr.dpr[#].int_flop_fifo_#int_flop_fifo_#.csum_err_flop_ff_ovflow
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,csum_err_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.csum_err_flop_ff_undflow,,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,114,int_flop_fifo_#csum_err_flop_ff_undflowdpr.dpr[#].int_flop_fifo_#int_flop_fifo_#.csum_err_flop_ff_undflow
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_drop_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_drop_flop_ff_ovflow,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,115,int_flop_fifo_#data_mux_drop_flop_ff_ovflowdpr.dpr[#].int_flop_fifo_#int_flop_fifo_#.data_mux_drop_flop_ff_ovflow
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_drop_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_drop_flop_ff_undflow,,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,116,int_flop_fifo_#data_mux_drop_flop_ff_undflowdpr.dpr[#].int_flop_fifo_#int_flop_fifo_#.data_mux_drop_flop_ff_undflow
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_eop_err_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_eop_err_flop_ff_ovflow,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,117,int_flop_fifo_#data_mux_eop_err_flop_ff_ovflowdpr.dpr[#].int_flop_fifo_#int_flop_fifo_#.data_mux_eop_err_flop_ff_ovflow
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_eop_err_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_eop_err_flop_ff_undflow,,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,118,int_flop_fifo_#data_mux_eop_err_flop_ff_undflowdpr.dpr[#].int_flop_fifo_#int_flop_fifo_#.data_mux_eop_err_flop_ff_undflow
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_force_bypass_crc_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_force_bypass_crc_flop_ff_ovflow,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,119,int_flop_fifo_#data_mux_force_bypass_crc_flop_ff_ovflowdpr.dpr[#].int_flop_fifo_#int_flop_fifo_#.data_mux_force_bypass_crc_flop_ff_ovflow
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_force_bypass_crc_flop_ff_undflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_force_bypass_crc_flop_ff_undflow,,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,120,int_flop_fifo_#data_mux_force_bypass_crc_flop_ff_undflowdpr.dpr[#].int_flop_fifo_#int_flop_fifo_#.data_mux_force_bypass_crc_flop_ff_undflow
p4,2,Alessandro,dpr.dpr[#],int_flop_fifo_#,data_mux_force_bypass_csum_flop_ff_ovflow,dpr.dpr[#].int_flop_fifo_#,int_flop_fifo_#.data_mux_force_bypass_csum_flop_ff_ovflow,overflow,,-,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,,,,,121,int_flop_fifo_#data_mux_force_bypass_csum_flop_ff_ovflowdpr.dpr[#].int_flop_fifo_#int_flop_fifo_#.data_mux_force_bypass_csum_flop_ff_ovflow
